REFERENCIA;DESCRICAO;DATA_CADASTRO;UNIDADE;ATIVO;GRUPO;MARCA;GENERO;MATERIAL;TIPO_REPOSICAO;FORNECEDOR_TAG;FORNECEDOR_CNPJ;PRECO_CUSTO;FOTO
79.815.00.MEN;MACACAO ORLA;02/04/2026;PC;N;MACACAO FEMIN;MARE ALTA N;FEM;OUTROS;AGRUPADO;LINHA MESTRA IND E COM DE CONFEC LTDA;;207.72;
55.063.28.000;REGATA URUCUM;13/01/2025;PC;S;REGATA FEMIN;ORLA N;FEM;OUTROS;INDIVIDUAL;ATELIE NORTE IND E COM DE CONFEC LTDA;;230.35;
30.346.67.000;CAMISA LUMIERE;21/05/2023;UN;S;CAMISA ML MASC;LUMIERE N;MASC;JEANS;;LINHA MESTRA IND E COM DE CONFEC LTDA;;304.47;
37.911.23.XPT;BLAZER FLORADA;10/08/2022;PC;S;BLAZER FEMIN;GAROA PROMO;FEM;ALGODÃO;AGRUPADO;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;22.31;
48.150.32.MEN;CALCA QUINTAL MASC;10/12/2024;PC;N;CALÇA TECIDO FEMIN;JUREMA L;FEM;OUTROS;;MALHARIA MARE IND E COM DE CONFEC LTDA;;33.30;
41.159.83.FEM;BODY ESSENCE;01/03/2020;PC;S;BODY FEMIN;DUNA N;FEM;OUTROS;INDIVIDUAL;TRAMA FINA IND E COM DE CONFEC LTDA;;146.83;
73.578.98.000;OCULOS ICARO FEM;25/12/2018;PC;S;OCULOS FEMIN;FLORADA N;FEM;ALGODÃO;;FIO NOBRE IND E COM DE CONFEC LTDA;;102.07;
83.445.54.ABC;PERFUME GAROA FEM;24/02/2018;UN;S;PERFUMARIA FEMIN;MARE ALTA N;FEM;OUTROS;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;259.75;
94.161.92.ABC;BIQUINI SAVANA;04/09/2023;PC;S;BIQUINI / MAIO FEMIN;ESSENCE N;FEM;COURO;AGRUPADO;ATELIE NORTE IND E COM DE CONFEC LTDA;;53.81;
98.856.57.000;MOLETOM PRAIANO MASC;07/03/2019;UN;S;MOLETOM FEMIN;LUMIERE N;FEM;OUTROS;INDIVIDUAL;TEXTIL DUNA IND E COM DE CONFEC LTDA;;281.15;
39.527.50.KIT;OCULOS ICARO FEM;11/11/2018;PC;S;OCULOS FEMIN;DUNA L;FEM;JEANS;INDIVIDUAL;VESTIR BEM IND E COM DE CONFEC LTDA;;70.86;
00.016.08.000;SAPATO ORLA MASC;16/11/2026;PAR;S;CALÇADO MASC;DUNA L;MASC;OUTROS;;TRAMA FINA IND E COM DE CONFEC LTDA;;25.96;
32.463.19.MEN;VESTIDO NOS MASC;03/09/2020;PC;S;VESTIDO CURTO FEMIN;ZENITE PROMO;FEM;OUTROS;;MODA SUL IND E COM DE CONFEC LTDA;;69.29;
77.537.06.MEN;MOLETOM BOSSA MASC;20/08/2021;UN;S;MOLETOM FEMIN;MARE ALTA PROMO;FEM;COURO;;ATELIE NORTE IND E COM DE CONFEC LTDA;;319.61;
19.501.24.000;CINTO HORIZONTE MASC;10/10/2026;PC;S;CINTO FEMIN;RAIZ N;FEM;OUTROS;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;298.99;
74.572.78.XPT;SAIA ZENITE;06/06/2020;UN;S;SAIA TECIDO FEMIN;ESSENCE N;FEM;JEANS;AGRUPADO;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;111.81;
54.686.30.ABC;CAMISETA BOSSA;05/03/2022;PC;S;CAMISETA MC MASC;KAIROS L;MASC;JEANS;;COSTURA VIVA IND E COM DE CONFEC LTDA;;114.89;
35.687.75.FEM;TOP ZENITE MASC;21/07/2023;UN;S;TOP CROPPED FEMIN;KAIROS N;FEM;OUTROS;INDIVIDUAL;MODA SUL IND E COM DE CONFEC LTDA;;283.33;
14.938.04.XPT;VESTIDO HORIZONTE MASC;13/02/2019;UN;S;VESTIDO MIDI FEMIN;DUNA N;FEM;COURO;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;184.94;
67.854.44.FEM;JAQUETA GAROA FEM;22/01/2021;PC;S;JAQUETA FEMIN;CARIOCA CRU N;FEM;ALGODÃO;INDIVIDUAL;TEXTIL DUNA IND E COM DE CONFEC LTDA;;228.68;
87.525.91.XPT;TOP ESSENCE MASC;25/12/2023;PC;N;TOP CROPPED FEMIN;RAIZ N;FEM;ALGODÃO;;LINHA MESTRA IND E COM DE CONFEC LTDA;;94.35;
86.506.15.XPT;BIQUINI GAROA MASC;07/10/2021;PC;S;BIQUINI / MAIO FEMIN;TROPICAL CO L;FEM;OUTROS;INDIVIDUAL;FIO NOBRE IND E COM DE CONFEC LTDA;;164.20;
15.475.14.ABC;POLO KAIROS;26/08/2018;PC;S;POLO MASC;NOS N;MASC;OUTROS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;259.05;
47.874.09.ABC;MOLETOM ESSENCE MASC;14/03/2022;PC;S;MOLETOM FEMIN;HORIZONTE N;FEM;OUTROS;INDIVIDUAL;TEXTIL DUNA IND E COM DE CONFEC LTDA;;259.73;
17.899.47.XPT;VESTIDO ICARO;10/07/2018;PC;S;VESTIDO LONGO FEMIN;OUTROS;FEM;ALGODÃO;;LINHA MESTRA IND E COM DE CONFEC LTDA;;265.89;
33.937.93.XPT;CONJ DUNA;03/10/2023;PC;S;CONJUNTO FEMIN;NOS PROMO;FEM;JEANS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;272.62;
94.767.76.KIT;JAQUETA PRAIANO FEM;02/02/2020;PC;N;JAQUETA FEMIN;NOS PROMO;FEM;OUTROS;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;27.82;
46.027.09.MEN;VESTIDO VENTO LESTE FEM;16/07/2019;PC;S;VESTIDO MIDI FEMIN;ICARO N;FEM;ALGODÃO;AGRUPADO;ATELIE NORTE IND E COM DE CONFEC LTDA;;82.96;
36.032.42.000;CONJ VENTO LESTE MASC;19/04/2023;PC;S;CONJUNTO FEMIN;QUINTAL N;FEM;OUTROS;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;292.79;
90.397.45.KIT;REGATA URUCUM;19/12/2018;UN;S;REGATA FEMIN;ICARO N;FEM;OUTROS;;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;96.64;
95.728.91.XPT;BERMUDA GAROA FEM;08/07/2018;PC;S;BERMUDA TECIDO FEMIN;ORLA N;FEM;OUTROS;AGRUPADO;VESTIR BEM IND E COM DE CONFEC LTDA;;24.98;
92.472.14.MEN;PERFUME ATELIE SUL;01/06/2019;PC;S;PERFUMARIA FEMIN;CARIOCA CRU N;FEM;OUTROS;AGRUPADO;TEXTIL DUNA IND E COM DE CONFEC LTDA;;205.36;
00.386.43.FEM;CINTO QUINTAL FEM;05/08/2024;UN;S;CINTO FEMIN;ESSENCE N;FEM;OUTROS;AGRUPADO;TEXTIL DUNA IND E COM DE CONFEC LTDA;;202.63;
28.912.98.KIT;MACACAO ESSENCE MASC;08/11/2018;UN;S;MACACAO FEMIN;RAIZ N;FEM;OUTROS;;FIO NOBRE IND E COM DE CONFEC LTDA;;39.89;
09.911.09.ABC;PERFUME PRAIANO FEM;05/03/2020;PC;S;PERFUMARIA FEMIN;JUREMA N;FEM;OUTROS;AGRUPADO;TEXTIL DUNA IND E COM DE CONFEC LTDA;;307.84;
34.819.75.000;PERFUME QUINTAL;28/11/2018;PC;S;PERFUMARIA FEMIN;PRAIANO L;FEM;OUTROS;;FIO NOBRE IND E COM DE CONFEC LTDA;;151.60;
83.381.30.MEN;VESTIDO URUCUM MASC;23/03/2023;UN;S;VESTIDO CURTO FEMIN;ATELIE SUL L;FEM;OUTROS;;VESTIR BEM IND E COM DE CONFEC LTDA;;114.11;
62.460.25.000;REGATA TROPICAL CO MASC;02/03/2020;PC;S;REGATA FEMIN;ZENITE PROMO;FEM;OUTROS;AGRUPADO;ATELIE NORTE IND E COM DE CONFEC LTDA;;257.83;
40.396.59.MEN;PERFUME VENTO LESTE FEM;10/11/2020;PC;S;PERFUMARIA FEMIN;FLORADA L;FEM;JEANS;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;205.45;
66.033.24.XPT;CONJ BOSSA MASC;25/02/2022;PC;S;CONJUNTO FEMIN;GAROA PROMO;FEM;OUTROS;AGRUPADO;MODA SUL IND E COM DE CONFEC LTDA;;97.84;
48.242.18.000;JAQUETA ESSENCE MASC;17/11/2023;PC;S;JAQUETA FEMIN;BOSSA N;FEM;OUTROS;;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;231.64;
63.008.46.XPT;CAMISA BOSSA;05/02/2022;PC;S;CAMISA ML MASC;JUREMA L;MASC;COMBO;;VESTIR BEM IND E COM DE CONFEC LTDA;;163.76;
44.246.87.KIT;SAPATO DUNA;06/10/2026;PC;S;CALÇADO FEMIN;NOS PROMO;FEM;LINHO;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;94.42;
00.114.35.ABC;CAMISETA URUCUM;01/02/2026;PC;S;CAMISETA MC MASC;ICARO N;MASC;LINHO;;MODA SUL IND E COM DE CONFEC LTDA;;58.97;
84.432.46.XPT;JAQUETA FLORADA FEM;22/11/2018;PC;S;JAQUETA FEMIN;ZENITE PROMO;FEM;OUTROS;INDIVIDUAL;LINHA MESTRA IND E COM DE CONFEC LTDA;;52.08;
75.831.31.FEM;OCULOS TROPICAL CO FEM;20/06/2023;PC;S;OCULOS FEMIN;ORLA L;FEM;OUTROS;;TEXTIL DUNA IND E COM DE CONFEC LTDA;;31.13;
07.560.90.KIT;CASACO ATELIE SUL MASC;05/06/2018;UN;S;CASACO FEMIN;CARIOCA CRU L;FEM;COURO;INDIVIDUAL;ATELIE NORTE IND E COM DE CONFEC LTDA;;107.25;
25.818.44.KIT;VESTIDO VENTO LESTE;24/05/2021;PC;S;VESTIDO UNICO FEMIN;QUINTAL L;FEM;OUTROS;;MODA SUL IND E COM DE CONFEC LTDA;;251.35;
63.116.46.000;CASACO PRAIANO;20/06/2022;PC;N;CASACO FEMIN;SAVANA L;FEM;ALGODÃO;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;189.22;
57.524.78.ABC;CALCA ORLA;03/06/2026;PC;S;CALÇA TECIDO FEMIN;ATELIE SUL N;FEM;JEANS;INDIVIDUAL;MODA SUL IND E COM DE CONFEC LTDA;;114.40;
34.050.29.KIT;CASACO ESSENCE MASC;10/10/2018;PC;S;CASACO FEMIN;GAROA PROMO;FEM;OUTROS;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;98.65;
04.266.45.XPT;CALCA ICARO;14/12/2026;PAR;S;CALÇA JEANS FEMIN;QUINTAL N;FEM;OUTROS;INDIVIDUAL;TRAMA FINA IND E COM DE CONFEC LTDA;;289.88;
18.824.45.000;VESTIDO ORLA;24/04/2023;PC;S;VESTIDO CURTO FEMIN;QUINTAL PROMO;FEM;OUTROS;AGRUPADO;LINHA MESTRA IND E COM DE CONFEC LTDA;;127.14;
78.376.00.KIT;POLO FLORADA;15/06/2020;PAR;S;POLO MASC;ESSENCE N;MASC;OUTROS;AGRUPADO;TEXTIL DUNA IND E COM DE CONFEC LTDA;;146.29;
22.808.62.MEN;VESTIDO CARIOCA CRU;18/08/2022;UN;S;VESTIDO CURTO FEMIN;ZENITE N;FEM;OUTROS;AGRUPADO;VESTIR BEM IND E COM DE CONFEC LTDA;;28.93;
58.847.14.000;CASACO KAIROS;21/09/2019;UN;S;CASACO FEMIN;KAIROS PROMO;FEM;JEANS;;ATELIE NORTE IND E COM DE CONFEC LTDA;;308.59;
31.672.24.FEM;MOLETOM KAIROS FEM;08/04/2022;PC;N;MOLETOM FEMIN;JUREMA PROMO;FEM;OUTROS;AGRUPADO;VESTIR BEM IND E COM DE CONFEC LTDA;;174.65;
59.430.83.000;BLUSA ORLA;10/05/2024;PC;S;BLUSA FEMIN;TROPICAL CO PROMO;FEM;OUTROS;INDIVIDUAL;MODA SUL IND E COM DE CONFEC LTDA;;14.31;
63.182.94.000;CALCA ZENITE;13/09/2024;PC;S;CALÇA JEANS FEMIN;QUINTAL L;FEM;JEANS;;TRAMA FINA IND E COM DE CONFEC LTDA;;132.36;
39.080.65.XPT;VESTIDO RAIZ MASC;23/05/2019;PAR;N;VESTIDO CURTO FEMIN;TROPICAL CO L;FEM;OUTROS;AGRUPADO;COSTURA VIVA IND E COM DE CONFEC LTDA;;207.36;
66.638.03.MEN;BERMUDA VENTO LESTE MASC;11/03/2026;PC;S;BERMUDA TECIDO FEMIN;GAROA PROMO;FEM;ALGODÃO;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;180.59;
03.620.28.FEM;BLUSA SAVANA;21/02/2026;PAR;S;BLUSA FEMIN;BOSSA L;FEM;OUTROS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;97.73;
45.220.11.KIT;REGATA ATELIE SUL FEM;23/03/2026;PC;S;REGATA FEMIN;TROPICAL CO PROMO;FEM;ALGODÃO;;FIO NOBRE IND E COM DE CONFEC LTDA;;73.75;
18.392.24.KIT;PERFUME ESSENCE FEM;27/05/2026;PC;S;PERFUMARIA FEMIN;HORIZONTE N;FEM;OUTROS;;MALHARIA MARE IND E COM DE CONFEC LTDA;;255.32;
99.442.85.ABC;BIQUINI SAVANA FEM;24/01/2024;PAR;S;BIQUINI / MAIO FEMIN;ZENITE N;FEM;OUTROS;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;303.35;
38.715.54.KIT;SAPATO ZENITE;23/09/2018;PAR;N;CALÇADO MASC;KAIROS N;MASC;OUTROS;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;202.99;
02.447.78.ABC;POLO HORIZONTE;20/02/2020;UN;S;POLO MASC;VENTO LESTE L;MASC;OUTROS;AGRUPADO;MODA SUL IND E COM DE CONFEC LTDA;;45.21;
98.481.92.XPT;MOLETOM ZENITE MASC;12/09/2026;PC;S;MOLETOM FEMIN;TROPICAL CO N;FEM;OUTROS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;142.09;
27.911.52.ABC;REGATA ICARO;02/05/2024;PC;S;REGATA FEMIN;MARE ALTA PROMO;FEM;OUTROS;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;132.54;
90.112.91.XPT;BERMUDA URUCUM;15/05/2018;UN;S;BERMUDA TECIDO FEMIN;VENTO LESTE L;FEM;COURO;;VESTIR BEM IND E COM DE CONFEC LTDA;;32.66;
88.121.77.XPT;BLUSA QUINTAL FEM;14/06/2024;PC;S;BLUSA FEMIN;ORLA N;FEM;NYLON;;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;172.83;
58.248.25.XPT;SAIA MARE ALTA;02/08/2023;PC;S;SAIA JEANS FEMIN;URUCUM N;FEM;OUTROS;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;133.50;
62.531.94.000;PERFUME BOSSA FEM;22/04/2020;PC;S;PERFUMARIA FEMIN;ATELIE SUL L;FEM;OUTROS;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;63.04;
38.941.01.000;CALCA BOSSA FEM;20/10/2023;PC;S;CALÇA JEANS MASC;FLORADA L;MASC;SARJA;AGRUPADO;MODA SUL IND E COM DE CONFEC LTDA;;122.47;
72.825.18.MEN;BODY MARE ALTA MASC;23/06/2024;PC;S;BODY FEMIN;ESSENCE N;FEM;JEANS;;ATELIE NORTE IND E COM DE CONFEC LTDA;;93.34;
32.919.37.MEN;BERMUDA LUMIERE;06/08/2025;PC;S;BERMUDA TECIDO FEMIN;GAROA PROMO;FEM;OUTROS;;COSTURA VIVA IND E COM DE CONFEC LTDA;;284.27;
16.068.18.ABC;BLUSA BOSSA MASC;02/02/2020;PC;S;BLUSA FEMIN;NOS N;FEM;OUTROS;;VESTIR BEM IND E COM DE CONFEC LTDA;;161.42;
53.625.87.ABC;BIQUINI GAROA;28/01/2019;PC;S;BIQUINI / MAIO FEMIN;LUMIERE N;FEM;OUTROS;;LINHA MESTRA IND E COM DE CONFEC LTDA;;238.72;
63.652.45.000;BOLSA QUINTAL MASC;18/09/2022;PC;N;BOLSA FEMIN;KAIROS PROMO;FEM;SARJA;INDIVIDUAL;PONTO CERTO IND E COM DE CONFEC LTDA;;41.82;
09.100.13.FEM;BERMUDA ICARO MASC;04/10/2026;PC;S;BERMUDA TECIDO FEMIN;RAIZ L;FEM;ALGODÃO;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;254.22;
92.706.18.MEN;CAMISETA QUINTAL FEM;25/08/2022;UN;S;CAMISETA FEMIN;ZENITE N;FEM;OUTROS;;TRAMA FINA IND E COM DE CONFEC LTDA;;39.35;
18.357.24.FEM;SAIA KAIROS FEM;02/09/2022;PC;S;SAIA JEANS FEMIN;ATELIE SUL L;FEM;OUTROS;INDIVIDUAL;TRAMA FINA IND E COM DE CONFEC LTDA;;108.60;
99.660.46.MEN;SAPATO SAVANA FEM;25/08/2023;PC;N;CALÇADO MASC;ORLA N;MASC;OUTROS;;ATELIE NORTE IND E COM DE CONFEC LTDA;;221.15;
18.797.66.XPT;BODY MARE ALTA;16/12/2020;PC;S;BODY FEMIN;HORIZONTE N;FEM;OUTROS;AGRUPADO;MODA SUL IND E COM DE CONFEC LTDA;;276.36;
51.139.76.ABC;CINTO TROPICAL CO MASC;15/09/2021;UN;S;CINTO FEMIN;DUNA N;FEM;JEANS;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;24.86;
39.370.67.000;MOLETOM BOSSA FEM;12/08/2019;PC;S;MOLETOM FEMIN;MARE ALTA PROMO;FEM;OUTROS;;COSTURA VIVA IND E COM DE CONFEC LTDA;;41.25;
78.366.11.XPT;VESTIDO PRAIANO MASC;12/04/2018;UN;S;VESTIDO UNICO FEMIN;ZENITE PROMO;FEM;OUTROS;;MODA SUL IND E COM DE CONFEC LTDA;;57.32;
29.092.19.ABC;MOLETOM GAROA MASC;23/08/2023;PC;S;MOLETOM FEMIN;JUREMA L;FEM;OUTROS;AGRUPADO;MODA SUL IND E COM DE CONFEC LTDA;;254.00;
97.103.01.ABC;POLO ATELIE SUL;13/01/2026;UN;S;POLO MASC;NOS N;MASC;OUTROS;INDIVIDUAL;LINHA MESTRA IND E COM DE CONFEC LTDA;;316.19;
82.923.69.FEM;MACACAO TROPICAL CO;22/09/2023;UN;S;MACACAO FEMIN;QUINTAL L;FEM;OUTROS;;FIO NOBRE IND E COM DE CONFEC LTDA;;107.65;
09.366.03.KIT;SAIA ESSENCE MASC;01/01/2023;PC;N;SAIA TECIDO FEMIN;FLORADA L;FEM;OUTROS;AGRUPADO;COSTURA VIVA IND E COM DE CONFEC LTDA;;206.45;
14.362.04.000;TOP ZENITE;04/09/2020;PC;S;TOP CROPPED FEMIN;FLORADA N;FEM;JEANS;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;104.37;
57.917.61.XPT;POLO ESSENCE FEM;16/10/2025;PC;N;POLO MASC;ZENITE PROMO;MASC;OUTROS;INDIVIDUAL;FIO NOBRE IND E COM DE CONFEC LTDA;;145.87;
64.174.75.XPT;CALCA KAIROS MASC;13/04/2026;PAR;S;CALÇA JEANS FEMIN;LUMIERE L;FEM;OUTROS;INDIVIDUAL;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;189.03;
20.738.61.XPT;CINTO ICARO FEM;01/03/2019;UN;S;CINTO FEMIN;QUINTAL L;FEM;OUTROS;;VESTIR BEM IND E COM DE CONFEC LTDA;;74.25;
89.695.17.FEM;CALCA ZENITE FEM;06/05/2024;UN;S;CALÇA JEANS FEMIN;MARE ALTA PROMO;FEM;OUTROS;INDIVIDUAL;ATELIE NORTE IND E COM DE CONFEC LTDA;;170.00;
96.147.25.KIT;PERFUME MARE ALTA;15/09/2025;PC;S;PERFUMARIA FEMIN;PRAIANO N;FEM;POLIÉSTER;AGRUPADO;ATELIE NORTE IND E COM DE CONFEC LTDA;;23.99;
40.030.34.FEM;TOP PRAIANO MASC;21/12/2021;PC;S;TOP CROPPED FEMIN;LUMIERE L;FEM;JEANS;AGRUPADO;TEXTIL DUNA IND E COM DE CONFEC LTDA;;240.29;
12.695.51.MEN;VESTIDO TROPICAL CO MASC;24/11/2019;PC;S;VESTIDO MIDI FEMIN;ORLA L;FEM;ALGODÃO;INDIVIDUAL;PONTO CERTO IND E COM DE CONFEC LTDA;;96.88;
69.360.60.000;BLUSA GAROA MASC;13/08/2019;PC;N;BLUSA FEMIN;MARE ALTA L;;OUTROS;INDIVIDUAL;TRAMA FINA IND E COM DE CONFEC LTDA;;49.65;
78.326.20.FEM;BODY SAVANA MASC;27/08/2022;PC;S;BODY FEMIN;JUREMA PROMO;FEM;JEANS;;TRAMA FINA IND E COM DE CONFEC LTDA;;168.99;
04.025.19.FEM;CAMISA ESSENCE FEM;14/02/2021;PC;S;CAMISA CHEMISE FEMIN;PRAIANO N;FEM;OUTROS;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;110.49;
77.850.45.FEM;REGATA LUMIERE FEM;22/05/2025;PC;S;REGATA FEMIN;BOSSA N;FEM;OUTROS;INDIVIDUAL;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;210.20;
94.053.68.XPT;BERMUDA ATELIE SUL MASC;19/10/2025;PC;S;BERMUDA TECIDO FEMIN;KAIROS PROMO;FEM;OUTROS;;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;33.82;
35.284.77.ABC;MACACAO FLORADA FEM;15/06/2018;PC;N;MACACAO FEMIN;DUNA L;FEM;SARJA;;COSTURA VIVA IND E COM DE CONFEC LTDA;;98.07;
78.517.60.KIT;VESTIDO URUCUM FEM;19/11/2024;UN;S;VESTIDO UNICO FEMIN;FLORADA L;FEM;OUTROS;;TRAMA FINA IND E COM DE CONFEC LTDA;;259.23;
36.552.59.FEM;TOP CARIOCA CRU;22/02/2019;PC;S;TOP CROPPED FEMIN;CARIOCA CRU N;FEM;COURO;;ATELIE NORTE IND E COM DE CONFEC LTDA;;220.31;
60.512.76.FEM;MOLETOM ZENITE MASC;27/04/2018;UN;N;MOLETOM FEMIN;GAROA PROMO;FEM;OUTROS;AGRUPADO;LINHA MESTRA IND E COM DE CONFEC LTDA;;60.91;
64.185.96.MEN;SAIA MARE ALTA FEM;01/03/2021;PC;S;SAIA JEANS FEMIN;FLORADA L;FEM;OUTROS;AGRUPADO;FIO NOBRE IND E COM DE CONFEC LTDA;;229.26;
09.543.65.FEM;VESTIDO VENTO LESTE MASC;19/04/2022;UN;S;VESTIDO UNICO FEMIN;VENTO LESTE N;FEM;JEANS;;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;163.44;
88.117.86.ABC;CAMISA RAIZ MASC;04/01/2023;PC;S;CAMISA ML MASC;ORLA N;MASC;OUTROS;;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;12.13;
33.592.17.KIT;BLAZER SAVANA FEM;13/11/2023;UN;S;BLAZER FEMIN;LUMIERE L;FEM;OUTROS;INDIVIDUAL;ATELIE NORTE IND E COM DE CONFEC LTDA;;136.52;
34.894.06.000;VESTIDO GAROA;03/06/2023;UN;S;VESTIDO LONGO FEMIN;GAROA PROMO;FEM;OUTROS;INDIVIDUAL;MALHARIA MARE IND E COM DE CONFEC LTDA;;211.78;
38.795.40.MEN;BIQUINI ZENITE FEM;04/04/2025;PC;S;BIQUINI / MAIO FEMIN;ATELIE SUL N;FEM;COMBO;;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;139.10;
58.575.53.XPT;CAMISETA HORIZONTE;13/09/2022;PAR;S;CAMISETA MC MASC;ATELIE SUL PROMO;MASC;MOLETOM;;VESTIR BEM IND E COM DE CONFEC LTDA;;131.35;
21.457.90.KIT;BERMUDA QUINTAL FEM;23/01/2018;PAR;N;BERMUDA JEANS FEMIN;ZENITE L;FEM;LINHO;INDIVIDUAL;COSTURA VIVA IND E COM DE CONFEC LTDA;;254.10;
26.261.20.XPT;BERMUDA ICARO;23/06/2020;UN;S;BERMUDA JEANS FEMIN;LUMIERE L;FEM;OUTROS;INDIVIDUAL;FIO NOBRE IND E COM DE CONFEC LTDA;;114.69;
34.900.92.KIT;BLAZER URUCUM MASC;24/08/2019;PAR;S;BLAZER FEMIN;GAROA PROMO;FEM;POLIÉSTER;INDIVIDUAL;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;178.73;
81.100.30.000;CONJ GAROA;22/08/2019;PC;N;CONJUNTO FEMIN;KAIROS L;FEM;OUTROS;INDIVIDUAL;LINHA MESTRA IND E COM DE CONFEC LTDA;;264.11;
83.919.28.MEN;VESTIDO RAIZ FEM;02/11/2022;PC;S;VESTIDO MIDI FEMIN;CARIOCA CRU L;FEM;OUTROS;;MODA SUL IND E COM DE CONFEC LTDA;;260.59;
37.316.31.MEN;CINTO JUREMA;15/03/2024;UN;S;CINTO FEMIN;GAROA L;;OUTROS;INDIVIDUAL;LINHA MESTRA IND E COM DE CONFEC LTDA;;166.86;
06.305.27.KIT;VESTIDO GAROA;01/05/2026;UN;S;VESTIDO MIDI FEMIN;ORLA N;FEM;OUTROS;AGRUPADO;VESTIR BEM IND E COM DE CONFEC LTDA;;315.57;
83.697.24.MEN;MACACAO ORLA;10/03/2024;PC;S;MACACAO FEMIN;RAIZ L;FEM;OUTROS;AGRUPADO;PONTO CERTO IND E COM DE CONFEC LTDA;;132.33;
15.428.17.KIT;BLAZER ZENITE;10/02/2026;PC;S;BLAZER FEMIN;VENTO LESTE N;FEM;OUTROS;;TEXTIL DUNA IND E COM DE CONFEC LTDA;;156.08;
00.066.91.XPT;CALCA SAVANA;02/01/2022;PC;S;CALÇA JEANS MASC;MARE ALTA PROMO;MASC;ALGODÃO;INDIVIDUAL;PONTO CERTO IND E COM DE CONFEC LTDA;;78.90;
30.309.22.MEN;CAMISA GAROA MASC;01/01/2025;PC;S;CAMISA CHEMISE FEMIN;DUNA N;FEM;JEANS;AGRUPADO;COSTURA VIVA IND E COM DE CONFEC LTDA;;175.40;
79.807.05.MEN;SAPATO PRAIANO FEM;22/01/2018;PC;S;CALÇADO MASC;OUTROS;MASC;OUTROS;INDIVIDUAL;ATELIE NORTE IND E COM DE CONFEC LTDA;;155.93;
95.971.96.KIT;CALCA MARE ALTA;10/01/2024;PAR;S;CALÇA JEANS MASC;KAIROS L;MASC;JEANS;;CONFEC PRAIANA IND E COM DE CONFEC LTDA;;158.17;
28.212.36.MEN;VESTIDO ZENITE;17/11/2021;PC;S;VESTIDO UNICO FEMIN;ZENITE N;FEM;NYLON;INDIVIDUAL;FIO NOBRE IND E COM DE CONFEC LTDA;;129.89;
04.345.04.XPT;VESTIDO ORLA MASC;16/07/2018;PAR;S;VESTIDO LONGO FEMIN;RAIZ L;FEM;OUTROS;AGRUPADO;VESTIR BEM IND E COM DE CONFEC LTDA;;194.38;
25.182.47.000;BLAZER ESSENCE MASC;03/04/2026;PC;S;BLAZER FEMIN;MARE ALTA N;FEM;JEANS;AGRUPADO;TECELAGEM ORLA IND E COM DE CONFEC LTDA;;62.28;
00.120.06.MEN;CONJ LUMIERE MASC;22/01/2021;PC;S;CONJUNTO FEMIN;ZENITE PROMO;FEM;NYLON;AGRUPADO;TRAMA FINA IND E COM DE CONFEC LTDA;;71.78;
80.337.82.000;MOLETOM HORIZONTE FEM;01/06/2018;PC;S;MOLETOM FEMIN;SAVANA L;FEM;OUTROS;AGRUPADO;MALHARIA MARE IND E COM DE CONFEC LTDA;;20.28;
